Time,Generation,Consumption,ForecastGen,ForecastCon
2018-12-23 00:15:00,0,1840,0.0,1872.5369312512714
2018-12-23 00:30:00,0,1658,0.0,1899.5280327893172
2018-12-23 00:45:00,0,1806,0.0,1741.4278776690046
2018-12-23 01:00:00,0,1672,0.0,1707.8012693234637
2018-12-23 01:15:00,0,1509,0.0,1724.5913623941162
2018-12-23 01:30:00,0,1429,0.0,1594.3329503022464
2018-12-23 01:45:00,0,1806,0.0,1435.3858007694469
2018-12-23 02:00:00,0,1675,0.0,1496.9837824672315
2018-12-23 02:15:00,0,1429,0.0,1405.1419334059542
2018-12-23 02:30:00,0,1514,0.0,1384.7236300592203
2018-12-23 02:45:00,0,1339,0.0,1361.210887378626
2018-12-23 03:00:00,0,1204,0.0,1280.0891162627486
2018-12-23 03:15:00,0,1434,0.0,1311.7755172647635
2018-12-23 03:30:00,0,1232,0.0,1282.8373733452352
2018-12-23 03:45:00,0,1216,0.0,1268.5207623781453
2018-12-23 04:00:00,0,1407,0.0,1207.936750943732
2018-12-23 04:15:00,0,1387,0.0,1244.5755242862506
2018-12-23 04:30:00,0,1237,0.0,1210.225375603253
2018-12-23 04:45:00,0,1246,0.0,1348.4121660236835
2018-12-23 05:00:00,0,1544,0.0,1939.04526294348
2018-12-23 05:15:00,0,2082,0.0,1914.7950206764099
2018-12-23 05:30:00,0,3096,0.0,2273.562201027994
2018-12-23 05:45:00,0,1432,0.0,1494.674338551487
2018-12-23 06:00:00,0,1359,0.0,1189.8300424866031
2018-12-23 06:15:00,0,1117,0.0,1184.7343969165743
2018-12-23 06:30:00,0,1737,26.819000000000003,1721.0114898169566
2018-12-23 06:45:00,0,1138,36.439666666666646,1075.0983883029483
2018-12-23 07:00:00,3,1417,31.63066666666667,1040.5094613022768
2018-12-23 07:15:00,74,1164,95.22350000000002,1014.8143624368302
2018-12-23 07:30:00,148,1179,178.69199999999998,1033.8892178062747
2018-12-23 07:45:00,267,2465,243.93683333333334,1187.1225165071655
2018-12-23 08:00:00,374,1704,545.8281666666668,1220.412975698107
2018-12-23 08:15:00,485,1216,538.5426666666667,1012.3054726789195
2018-12-23 08:30:00,784,1132,736.6195000000001,1046.4372044799638
2018-12-23 08:45:00,921,990,1027.0901666666664,1002.9830599509652
2018-12-23 09:00:00,1170,966,1151.043666666667,998.5884430958837
2018-12-23 09:15:00,1068,1573,1110.4851666666664,1193.2977114438495
2018-12-23 09:30:00,924,1027,977.1460000000001,1101.9135712899683
2018-12-23 09:45:00,1063,959,987.3003333333334,1053.6604150392739
2018-12-23 10:00:00,809,961,934.2385000000002,1018.3391945328354
2018-12-23 10:15:00,1249,921,1331.663833333333,1218.6391413497138
2018-12-23 10:30:00,1719,2238,1632.4720000000004,1292.1788647715134
2018-12-23 10:45:00,1424,1311,1559.8085000000003,1312.3189687440763
2018-12-23 11:00:00,2039,1042,1922.5281666666667,1322.2240617043003
2018-12-23 11:15:00,2328,1155,2183.0239999999994,1231.5818793681374
2018-12-23 11:30:00,1802,1651,1893.6666666666677,1240.556745314775
2018-12-23 11:45:00,1850,1164,1896.668833333334,1101.154459997448
2018-12-23 12:00:00,1906,1030,1896.4903333333343,1084.8215270370563
2018-12-23 12:15:00,1860,1234,1862.0315000000007,1219.3120784851146
2018-12-23 12:30:00,1914,1255,1890.3226666666676,1352.3532100576838
2018-12-23 12:45:00,1861,1419,1897.4018333333343,1639.4429289038756
2018-12-23 13:00:00,1835,1489,2004.5123333333343,2019.9848882037486
2018-12-23 13:15:00,2332,2372,2221.346333333334,2090.9833969612228
2018-12-23 13:30:00,2215,2442,2190.055166666667,2124.658066846639
2018-12-23 13:45:00,2138,2186,2142.2206666666666,2278.087163670421
2018-12-23 14:00:00,2022,2125,1815.0311666666657,2195.4880233615986
2018-12-23 14:15:00,1838,2200,1770.4609999999996,2072.412114052047
2018-12-23 14:30:00,1521,2653,1444.0776666666666,2146.3940108175493
2018-12-23 14:45:00,1382,2457,1185.4536666666672,2113.3246851686654
2018-12-23 15:00:00,1069,2752,1146.4236666666668,2074.3887600828507
2018-12-23 15:15:00,1067,2637,1069.6206666666667,2211.448327381203
2018-12-23 15:30:00,1022,1453,970.5788333333331,1844.5652904000497
2018-12-23 15:45:00,900,1457,870.1546666666669,1187.4102615149225
2018-12-23 16:00:00,639,1605,632.4573333333335,1150.293363282432
2018-12-23 16:15:00,522,1477,521.9483333333334,1061.8957972548044
2018-12-23 16:30:00,353,1367,350.45516666666657,1070.0174541897236
2018-12-23 16:45:00,301,1782,310.6145,1056.2920551579705
2018-12-23 17:00:00,210,2195,193.55733333333336,1561.2732586100128
2018-12-23 17:15:00,144,3291,132.61000000000004,2015.0193192688582
2018-12-23 17:30:00,106,3751,93.43050000000001,2036.4879574636802
2018-12-23 17:45:00,43,3322,38.67849999999999,1850.255079076563
2018-12-23 18:00:00,4,3517,2.4953333333333334,1960.3493268396314
2018-12-23 18:15:00,0,3843,0.0,2146.224631133326
2018-12-23 18:30:00,0,3696,0.0,2306.0197231973916
2018-12-23 18:45:00,0,3403,0.0,2257.8548116128327
2018-12-23 19:00:00,0,3026,0.0,2499.892778042205
2018-12-23 19:15:00,0,3510,0.0,2895.8027953305345
2018-12-23 19:30:00,0,3917,0.0,2681.919674721791
2018-12-23 19:45:00,0,3372,0.0,2619.8734839660638
2018-12-23 20:00:00,0,2875,0.0,2730.4890972494395
2018-12-23 20:15:00,0,2638,0.0,2679.1859949243535
2018-12-23 20:30:00,0,2579,0.0,2709.2848980541075
2018-12-23 20:45:00,0,2248,0.0,2745.3930054706793
2018-12-23 21:00:00,0,2143,0.0,2576.0222393175122
2018-12-23 21:15:00,0,2347,0.0,2488.60381074005
2018-12-23 21:30:00,0,2094,0.0,2160.2791786278103
2018-12-23 21:45:00,0,1976,0.0,2074.8919822205935
2018-12-23 22:00:00,0,1969,0.0,1975.6843410613183
2018-12-23 22:15:00,0,1963,0.0,1938.7003273109665
2018-12-23 22:30:00,0,1817,0.0,1897.0375540578027
2018-12-23 22:45:00,0,1618,0.0,1883.598448760457
2018-12-23 23:00:00,0,1834,0.0,1972.0806903700836
2018-12-23 23:15:00,0,1679,0.0,1841.374608047171
2018-12-23 23:30:00,0,1525,0.0,1918.814272356737
2018-12-23 23:45:00,0,1613,0.0,1917.8253263420597
2018-12-23 00:00:00,0,1700,0.0,1889.7983791860884
